Niveles Educativos;Sexo;Periodo;Total
ESO;Mujeres;2019;88,4
ESO;Mujeres;2018;84
ESO;Mujeres;2017;83,2
ESO;Mujeres;2016;80,9
ESO;Mujeres;2015;84,7
ESO;Mujeres;2014;82,8
ESO;Mujeres;2013;82,2
ESO;Mujeres;2012;80,6
ESO;Mujeres;2011;80,6
ESO;Mujeres;2010;79,6
ESO;Hombres;2019;80
ESO;Hombres;2018;73,8
ESO;Hombres;2017;72,7
ESO;Hombres;2016;70,6
ESO;Hombres;2015;74,3
ESO;Hombres;2014;72,7
ESO;Hombres;2013;71,7
ESO;Hombres;2012;70,5
ESO;Hombres;2011;69,9
ESO;Hombres;2010;69,3
Bachillerato/COU;Mujeres;2019;69,5
Bachillerato/COU;Mujeres;2018;63,1
Bachillerato/COU;Mujeres;2017;63,4
Bachillerato/COU;Mujeres;2016;63,3
Bachillerato/COU;Mujeres;2015;65
Bachillerato/COU;Mujeres;2014;62,6
Bachillerato/COU;Mujeres;2013;62,2
Bachillerato/COU;Mujeres;2012;60,3
Bachillerato/COU;Mujeres;2011;59,1
Bachillerato/COU;Mujeres;2010;57,5
Bachillerato/COU;Hombres;2019;53,1
Bachillerato/COU;Hombres;2018;47,6
Bachillerato/COU;Hombres;2017;48
Bachillerato/COU;Hombres;2016;48,2
Bachillerato/COU;Hombres;2015;50,4
Bachillerato/COU;Hombres;2014;47,9
Bachillerato/COU;Hombres;2013;47,8
Bachillerato/COU;Hombres;2012;46,9
Bachillerato/COU;Hombres;2011;45,6
Bachillerato/COU;Hombres;2010;43,5
Técnico/Técnico Auxiliar;Mujeres;2019;22,9
Técnico/Técnico Auxiliar;Mujeres;2018;22,4
Técnico/Técnico Auxiliar;Mujeres;2017;21,8
Técnico/Técnico Auxiliar;Mujeres;2016;22,6
Técnico/Técnico Auxiliar;Mujeres;2015;23,8
Técnico/Técnico Auxiliar;Mujeres;2014;23,8
Técnico/Técnico Auxiliar;Mujeres;2013;23,2
Técnico/Técnico Auxiliar;Mujeres;2012;22,2
Técnico/Técnico Auxiliar;Mujeres;2011;23,4
Técnico/Técnico Auxiliar;Mujeres;2010;21,3
Técnico/Técnico Auxiliar;Hombres;2019;24,3
Técnico/Técnico Auxiliar;Hombres;2018;24,1
Técnico/Técnico Auxiliar;Hombres;2017;23,7
Técnico/Técnico Auxiliar;Hombres;2016;24,4
Técnico/Técnico Auxiliar;Hombres;2015;25,6
Técnico/Técnico Auxiliar;Hombres;2014;25,5
Técnico/Técnico Auxiliar;Hombres;2013;24,5
Técnico/Técnico Auxiliar;Hombres;2012;21,2
Técnico/Técnico Auxiliar;Hombres;2011;21,5
Técnico/Técnico Auxiliar;Hombres;2010;19
Técnico Superior/Técnico Especialista;Mujeres;2019;29
Técnico Superior/Técnico Especialista;Mujeres;2018;30,4
Técnico Superior/Técnico Especialista;Mujeres;2017;30,5
Técnico Superior/Técnico Especialista;Mujeres;2016;27,6
Técnico Superior/Técnico Especialista;Mujeres;2015;28,8
Técnico Superior/Técnico Especialista;Mujeres;2014;29,8
Técnico Superior/Técnico Especialista;Mujeres;2013;29
Técnico Superior/Técnico Especialista;Mujeres;2012;26,3
Técnico Superior/Técnico Especialista;Mujeres;2011;24,6
Técnico Superior/Técnico Especialista;Mujeres;2010;23,7
Técnico Superior/Técnico Especialista;Hombres;2019;25,9
Técnico Superior/Técnico Especialista;Hombres;2018;28,2
Técnico Superior/Técnico Especialista;Hombres;2017;28,3
Técnico Superior/Técnico Especialista;Hombres;2016;25,8
Técnico Superior/Técnico Especialista;Hombres;2015;26,8
Técnico Superior/Técnico Especialista;Hombres;2014;27,3
Técnico Superior/Técnico Especialista;Hombres;2013;25,7
Técnico Superior/Técnico Especialista;Hombres;2012;21,9
Técnico Superior/Técnico Especialista;Hombres;2011;20,6
Técnico Superior/Técnico Especialista;Hombres;2010;19,2
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2019;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2018;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2017;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2016;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2015;0,5
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2014;2,1
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2013;3,8
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2012;8,2
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2011;19,1
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Mujeres;2010;26,4
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2019;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2018;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2017;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2016;..
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2015;0,9
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2014;3,4
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2013;5,1
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2012;8,6
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2011;13,1
Diplomado Universitario y Arquitecto e Ingeniero Técnico;Hombres;2010;14,5
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2019;..
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2018;..
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2017;..
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2016;..
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2015;4,1
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2014;9,4
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2013;16,9
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2012;23,3
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2011;23,4
Licenciado Universitario y Arquitecto e Ingeniero;Mujeres;2010;23,8
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2019;..
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2018;..
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2017;..
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2016;..
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2015;4,3
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2014;8,8
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2013;13,7
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2012;17,1
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2011;16,6
Licenciado Universitario y Arquitecto e Ingeniero;Hombres;2010;16,1
Grado;Mujeres;2019;55,6
Grado;Mujeres;2018;50,4
Grado;Mujeres;2017;52,3
Grado;Mujeres;2016;52,2
Grado;Mujeres;2015;50,9
Grado;Mujeres;2014;46,2
Grado;Mujeres;2013;37,2
Grado;Mujeres;2012;21,2
Grado;Mujeres;2011;7,8
Grado;Mujeres;2010;..
Grado;Hombres;2019;35
Grado;Hombres;2018;32,9
Grado;Hombres;2017;33,8
Grado;Hombres;2016;33,8
Grado;Hombres;2015;32,1
Grado;Hombres;2014;28,4
Grado;Hombres;2013;23,3
Grado;Hombres;2012;11,6
Grado;Hombres;2011;5,4
Grado;Hombres;2010;..
Master Oficial;Mujeres;2019;33,5
Master Oficial;Mujeres;2018;29
Master Oficial;Mujeres;2017;29,8
Master Oficial;Mujeres;2016;26,1
Master Oficial;Mujeres;2015;22,9
Master Oficial;Mujeres;2014;18,2
Master Oficial;Mujeres;2013;16
Master Oficial;Mujeres;2012;13,7
Master Oficial;Mujeres;2011;13,2
Master Oficial;Mujeres;2010;10,9
Master Oficial;Hombres;2019;22,4
Master Oficial;Hombres;2018;21,2
Master Oficial;Hombres;2017;20,8
Master Oficial;Hombres;2016;18,8
Master Oficial;Hombres;2015;16,7
Master Oficial;Hombres;2014;13,6
Master Oficial;Hombres;2013;12
Master Oficial;Hombres;2012;10,5
Master Oficial;Hombres;2011;9,9
Master Oficial;Hombres;2010;8
